,2021,2022
revenue,153013000.0,204838000.0
net_income,-5269664.0,-128906000.0
eps_diluted,-4.69,-11.12
cash_and_equiv,32009000.0,22889000.0
long_term_assets,46983000.0,12924000.0
depreication,3055000.0,7133000.0
