,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,83856000.0,86814000.0,81493000.0,112421000.0,113679000.0,148841000.0,157090000.0,231292000.0,309853000.0,325128000.0,368073000.0,125584000.0,89702000.0,84583000.0,99599000.0,103895000.0
net_income,0.0,119068000.0,85045000.0,32300000.0,36373000.0,34118000.0,32097000.0,40254000.0,28194000.0,30564000.0,1299000.0,42769000.0,50027000.0,-77977000.0,157220000.0,155177000.0
eps_diluted,0.0,2.75,1.98,0.71,0.8,0.75,0.7,0.93,0.75,0.84,0.04,1.22,1.44,-2.4,4.87,4.83
long_term_debt,0.0,0.0,446261000.0,1242199000.0,1262554000.0,1337724000.0,1327299000.0,1493180000.0,605505000.0,588949000.0,629434000.0,680624000.0,1560642000.0,1640536000.0,1692716000.0,1675308000.0
long_term_assets,0.0,0.0,1423919000.0,1419855000.0,1462521000.0,1556999000.0,1589720000.0,1544388000.0,1409078000.0,1477730000.0,1464153000.0,1485505000.0,1485264000.0,1612344000.0,1714389000.0,1673531000.0
depreication,0.0,0.0,76384000.0,91216000.0,96327000.0,100816000.0,108073000.0,109259000.0,103609000.0,98732000.0,90167000.0,88572000.0,85260000.0,86972000.0,90159000.0,88389000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589670000.0,627535000.0,679676000.0,754843000.0,706895000.0,2851993000.0,3035783000.0
