,2018,2019,2020,2021,2022
revenue,15753000.0,2968000.0,2238000.0,5794000.0,205999000.0
net_income,-21785000.0,-10989000.0,-31104000.0,-38663000.0,9349000.0
cash_and_equiv,36709000.0,71353000.0,462895000.0,370492000.0,391883000.0
long_term_debt,22488000.0,36774000.0,64821000.0,114837000.0,126984000.0
long_term_assets,2370000.0,7853000.0,8667000.0,13853000.0,47054000.0
depreication,582000.0,684000.0,882000.0,1193000.0,1527000.0
eps_diluted,0.0,0.0,0.0,-7.74,0.35
