,2019,2020,2021,2022,2023
revenue,177363000.0,167379000.0,276687000.0,247526000.0,191209000.0
net_income,-9521000.0,-12024000.0,18405000.0,-64880000.0,-12024000.0
eps_diluted,-0.68,-6.88,1.29,-4.66,-0.9
depreication,24990000.0,23909000.0,19826000.0,16967000.0,16511000.0
cash_and_equiv,0.0,234000.0,60801000.0,19521000.0,21950000.0
long_term_assets,0.0,149738000.0,161432000.0,98035000.0,85967000.0
