,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-1775000.0,-6768000.0,-8807000.0,-19972000.0,-46345000.0,-41167000.0,-39355000.0,-6567000.0,-54936000.0,-8662000.0,-10015000.0,-12237000.0,-21220000.0,-42897000.0,-58647000.0,-69208000.0,-78083000.0,-89729000.0,-71401000.0,-250460000.0,-236568000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,28073000.0,19339000.0,29572000.0,25668000.0,33971000.0,43640000.0,24074000.0,69485000.0,187026000.0,49060000.0,79749000.0,142837000.0,163240000.0,245197000.0,148813000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2132000.0,2058000.0,1585000.0,1705000.0,1719000.0,1547000.0,1833000.0,0.0,3593000.0,4216000.0,4775000.0,8846000.0,6209000.0,5342000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2871000.0,3147000.0,5471000.0,39285000.0,55390000.0,691783000.0,696781000.0,235059000.0,238855000.0,330134000.0,307051000.0,308306000.0,300351000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182237000.0,260886000.0,305514000.0,329233000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.48,-1.07,-0.92,-0.82
