,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
cash_and_equiv,802875.0,0.0,0.0,7559.0,4640.0,15530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_income,0.0,-3061464.0,-4397198.0,-3612351.0,-4342964.0,-2532985.0,-5391981.0,-3447613.0,-4028748.0,-3884695.0,-6591442.0,-769184.0,-13095521.0
long_term_debt,0.0,3170844.0,4140750.0,3879220.0,5038398.0,4492894.0,3900760.0,4648659.0,5799764.0,6078010.0,10989633.0,11697402.0,21140492.0
long_term_assets,0.0,115828.0,71130.0,56136.0,40489.0,45445.0,38150.0,29187.0,32013.0,26050.0,282026.0,246435.0,246195.0
depreication,0.0,15165.0,16058.0,14994.0,14981.0,16594.0,11222.0,8731.0,6286.0,0.0,0.0,3831.0,9084.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168356.0,120979.0,130596.0,104393.0,51897.0,97735.0
