,2020,2021,2022
revenue,9384000.0,4208000.0,12694000.0
net_income,-97023000.0,-65142000.0,-75491000.0
eps_diluted,-1.21,-0.57,-0.54
cash_and_equiv,110900000.0,169567000.0,48301000.0
long_term_debt,40686000.0,89108000.0,87734000.0
long_term_assets,6309000.0,11919000.0,22170000.0
