,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-5256012.0,-1867348.0,-10753871.0,-3066388.0,-15392618.0,-11871668.0,-6009283.0,-1096683.0,-3665596.0,-76715800.0,-3350754.0,-3017890.0,-2736715.0,-2908865.0,-5481648.0,-3663506.0,-4677795.0,-9321672.0,-9477028.0,-11763456.0,-8460799.0,-17211179.0,-19265644.0,-7837188.0,-24558648.0,-32812583.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595628.0,1055669.0,1186653.0,1729344.0,2183030.0,3605280.0,5316851.0,5245178.0,17321862.0,22368837.0,12232418.0,71421601.0,52137707.0,22144567.0
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219119.0,1527949.0,2076736.0,3064932.0,4505442.0,3043779.0,9189718.0,17840472.0,16858068.0,24988455.0,10153254.0,13690142.0,14714552.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411721.0,425061.0,399820.0,558768.0,861619.0,1394038.0,1865420.0,3363967.0,5932676.0,6480981.0,7497336.0,25220392.0,29471839.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17804.0,39150.0,54606.0,64350.0,65547.0,112969.0,161613.0,218271.0,390551.0,581532.0,660788.0,731578.0,882621.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36078.0,0.0,0.0,0.0,0.0,3083615.0,4646711.0,6080844.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,-0.13,0.0,-0.25,-0.02
