,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,1875063.0,1389288.0,952209.0,1544536.0,2509683.0,1262300.0,9437262.0,7534593.0,8199364.0,4755082.0,6877304.0,8065594,10427340.0,10449510,1669896.0
revenue,0.0,28147185.0,31197063.0,28579220.0,27033419.0,25934907.0,30584088.0,27717278.0,28326196.0,29863881.0,26472337.0,25412163,0.0,26986970,38253592.0
net_income,0.0,11999344.0,13360945.0,11381095.0,11828838.0,11135875.0,14368354.0,12292315.0,12948869.0,13912672.0,14507936.0,14526642,11694384.0,14507501,22694458.0
eps_diluted,0.0,2.47,2.76,2.34,2.43,2.29,2.95,2.53,2.68,2.87,2.99,3,2.42,3,4.7
long_term_assets,0.0,0.0,54788256.0,56956530.0,76728650.0,85027082.0,73169215.0,67438236.0,58581226.0,54736196.0,56174203.0,45113439,48138106.0,25964315,38468366.0
depreication,0.0,0.0,0.0,0.0,0.0,844339.0,934371.0,850970.0,798300.0,692665.0,498813.0,364409,308511.0,214877,257606.0
