,2021,2022
revenue,2772000.0,4409000.0
net_income,-9896000.0,-17332000.0
eps_diluted,-0.15,-0.24
cash_and_equiv,11489000.0,69696000.0
long_term_assets,4351000.0,7998000.0
depreication,1441000.0,1539000.0
