,2016,2017,2018,2019,2020,2021,2022
net_income,-9698.0,-30211.0,-43737.0,-38768.0,-25248.0,-1592693.0,-2421493.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revenue,0.0,0.0,0.0,0.0,0.0,751773.0,1886666.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,257219.0,871484.0
depreication,0.0,0.0,0.0,0.0,0.0,35705.0,95548.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,-0.0336,-0.0503
