,2016,2017,2018,2019,2020,2021,2022
revenue,112821000.0,130365000,150684000,210430000,186892000,258754000,277185000
net_income,-75696000.0,-19641000,-53042000,-17144000,-55422000,-128565000,-465264000
cash_and_equiv,22838000.0,21262000,39623000,104458000,293239000,233467000,121905000
depreication,4219000.0,3028000,3282000,4535000,7826000,29871000,37544000
long_term_debt,0.0,99107000,98579000,78414000,255285000,511748000,474988000
long_term_assets,0.0,26129000,29395000,28583000,36946000,905072000,441194000
