,2019,2020,2021,2022
cash_and_equiv,9837213.0,5805809.0,7363126.0,6176866.0
net_income,0.0,-8939149.0,-10203089.0,-18600117.0
long_term_assets,0.0,1490140.0,1402947.0,3189804.0
depreication,0.0,112429.0,120866.0,185657.0
revenue,0.0,0.0,1904013.0,1365755.0
eps_diluted,0.0,0.0,-37.96,-33.17
