,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
cash_and_equiv,159010000.0,244690000.0,221584000.0,301225000.0,522870000.0,457292000.0,688040000.0,682777000.0,633855000.0,549500000.0,747233000.0
net_income,0.0,717130000.0,817607000.0,891138000.0,978517000.0,1071154000.0,1186809000.0,1109890000.0,1045266000.0,1029445000.0,1243267000.0
eps_diluted,0.0,2.42,2.74,2.99,3.24,3.51,3.87,3.65,3.45,3.38,4.06
depreication,0.0,363330000.0,-415671000.0,-457085000.0,-503224000.0,-557283000.0,602896000.0,648225000.0,699328000.0,717322000.0,775945000.0
long_term_assets,0.0,0.0,10707679000.0,11093515000.0,11942067000.0,13837831000.0,16198542000.0,16833190000.0,18656271000.0,18380680000.0,19619987000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4970319000.0,5265354000.0,0.0,0.0
