,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,13418000.0,7787000.0,3196000.0,13009000.0,1931000.0,1001000.0,3044000.0,6117000.0,11305000.0
net_income,0.0,2111000.0,3228000.0,-12569000.0,-71764000.0,-35734000.0,-34787000.0,-56602000.0,-38861000.0
eps_diluted,0.0,-0.07,0.0,-1.52,-2.3,-0.96,-12.76,-7.58,-1.48
revenue,0.0,0.0,85448000.0,122233000.0,128420000.0,98958000.0,26751000.0,29561000.0,52537000.0
long_term_debt,0.0,0.0,62665000.0,125107000.0,83147000.0,99573000.0,86811000.0,74381000.0,39631000.0
long_term_assets,0.0,0.0,19951000.0,29201000.0,26558000.0,21648000.0,5487000.0,22042000.0,2152000.0
depreication,0.0,0.0,0.0,0.0,395000.0,93000.0,149000.0,123000.0,376000.0
