,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-1233000.0,-2560000.0,-4719000.0,-5609000.0,-12779000.0,-10940000.0,-12804000.0,-5752000.0,-8508000.0,-9937000.0,-1395000.0,-21247000.0,-22331000.0,-26954000.0,-27368000.0,-32830000.0,-67320000.0,-65789000.0,-42685000.0,-24078000.0,-80214000.0,-73143000.0,-35794000.0,-20812000.0,-529821000.0,179126000.0,-105032000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,153000.0,24000.0,7346000.0,18499000.0,13390000.0,21813000.0,6871000.0,117000.0,22224000.0,372000.0,9983000.0,15169000.0,6965000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,94000.0,112000.0,138000.0,41814000.0,46696000.0,45022000.0,47505000.0,869000.0,7443000.0,17388000.0,22870000.0,21898000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,10000.0,14000.0,11000.0,11000.0,56000.0,189000.0,439000.0,1291000.0,21000.0,87000.0,324000.0,1252000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,-0.04,-0.73,-0.06,-0.1
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336000.0,412000.0,2410000.0,1291000.0,1005000.0,1683000.0
