,2019,2020,2021,2022
revenue,4707912000.0,4719534000.0,5587015000.0,6324473000.0
net_income,117164000.0,164811000.0,405577000.0,435049000.0
eps_diluted,2.27,3.19,7.7,8.28
cash_and_equiv,0.0,152656000.0,182038000.0,145382000.0
long_term_debt,0.0,2120024000.0,1770231000.0,3356411000.0
long_term_assets,0.0,3754180000.0,3503302000.0,4915436000.0
