,2020,2021,2022
revenue,4785000.0,6598000.0,20885000.0
net_income,-11912000.0,4788000.0,-28304000.0
eps_diluted,-3.07,0.03,-0.2
cash_and_equiv,4704000.0,307492000.0,229783000.0
long_term_debt,29080000.0,34275000.0,88809000.0
long_term_assets,11971000.0,31737000.0,55531000.0
depreication,1065000.0,2895000.0,5465000.0
