,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,199198000.0,359694000.0,421243000.0,346345000.0,283920000.0,384579000.0,345555000.0,427376000.0,465995000.0,681433000.0,742546000.0,458102000.0,347558000.0,390808000.0,271749000.0,207430000.0
net_income,0.0,-135632000.0,16505000.0,19010000.0,2878000.0,18115000.0,67710000.0,23338000.0,39421000.0,19327000.0,-76361000.0,27716000.0,-6931000.0,7695000.0,35770000.0,68229000.0
eps_diluted,0.0,-2.02,0.25,0.31,0.05,0.33,1.25,0.44,0.77,0.39,-1.54,0.64,-0.19,0.21,0.99,1.91
depreication,0.0,40668000.0,39807000.0,39830000.0,35484000.0,35713000.0,40942000.0,46449000.0,49672000.0,55139000.0,48672000.0,51839000.0,48427000.0,48792000.0,44152000.0,44252000.0
long_term_assets,0.0,0.0,266531000.0,262957000.0,298997000.0,287286000.0,312253000.0,296732000.0,505250000.0,477263000.0,478647000.0,496233000.0,564792000.0,541884000.0,555736000.0,575182000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2322285000.0,2454479000.0,2635231000.0,2346809000.0,2130240000.0,2344938000.0,3011506000.0
