,2018,2019,2020,2021,2022
cash_and_equiv,21780904.0,18498463.0,54410052.0,117932868.0,82241921.0
revenue,0.0,45752906.0,117398517.0,146461019.0,97965853.0
net_income,0.0,14650450.0,-23167846.0,-37011340.0,-51364200.0
eps_diluted,0.0,0.13,-0.18,-0.22,-0.3
long_term_assets,0.0,55329130.0,85211396.0,93669564.0,84754209.0
depreication,0.0,1990184.0,2230117.0,2905620.0,1505293.0
