,2018,2019,2021,2022,2023
revenue,7051467,6480564,8159796.0,8451870.0,12601169.0
net_income,20803,-466577,791992.0,607851.0,-562285.0
cash_and_equiv,663511,258101,0.0,0.0,0.0
long_term_debt,4247795,4366901,4272999.0,3975281.0,5001233.0
long_term_assets,2474290,2296715,1982967.0,1941148.0,7905604.0
depreication,1700,212787,189389.0,234027.0,449038.0
