,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-123000.0,-3033000.0,-8538000.0,-6421000.0,-7386000.0,-13820000.0,-12410000.0,-11180000.0,-7896000.0,-6781000.0,-2754000.0,-6324000.0,-9109000.0,-5101000.0,11885000.0,-6079000.0,12025000.0,-20217000.0,-18476000.0,-41314000.0,-54454000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9031000.0,3858000.0,6202000.0,35573000.0,13777000.0,18722000.0,10837000.0,8458000.0,13309000.0,9590000.0,12331000.0,8543000.0,15740000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000.0,25000.0,518000.0,518000.0,469000.0,415000.0,381000.0,328000.0,465000.0,1084000.0,9281000.0,10714000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,45000.0,50000.0,64000.0,58000.0,85000.0,53000.0,80000.0,109000.0,285000.0,326000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.32,-0.16,-0.15,-0.26,-0.17,-0.6,-0.5
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17199000.0,358000.0,2049000.0,1008000.0,25504000.0,34796000.0,40697000.0
