,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,3677000.0,3004000.0,1715000.0,3361000.0,9557000.0,7193000.0,11152000.0,18219000.0,22933000.0,8012000.0,10302000.0,35584000.0,23232000.0,9581000.0
net_income,0.0,1105000.0,875000.0,-976000.0,446000.0,-537000.0,1575000.0,1394000.0,1021000.0,12694000.0,10196000.0,5531000.0,5805000.0,-372000.0
eps_diluted,0.0,0.12,0.09,-0.1,0.05,-0.06,0.11,0.1,0.07,0.86,0.69,0.38,0.39,-0.03
long_term_assets,0.0,8131000.0,8951000.0,8222000.0,8157000.0,7209000.0,7778000.0,5292000.0,5775000.0,7942000.0,8442000.0,9336000.0,12639000.0,16834000.0
depreication,0.0,905000.0,890000.0,1075000.0,1232000.0,1372000.0,1385000.0,1397000.0,1128000.0,1380000.0,1600000.0,1643000.0,2591000.0,2823000.0
revenue,0.0,0.0,59692000.0,63182000.0,48943000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
