,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-100000.0,-204000.0,-213092.0,-208420.0,-228217.0,-207196.0,-508226.0,-539622.0,-584232.0,-4284540.0,-3304388.0,-4553636.0,-2531228.0,-953936.0,-5383535.0,-7643124.0,-10118000.0,-15899000.0,-19087000.0,-11985000.0,14625000.0,168000.0,-3357000.0,-18007000.0,-14086000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589773.0,291462.0,146160.0,10035615.0,15579000.0,8211000.0,2685000.0,8853000.0,4019000.0,0.0,4749000.0,4101000.0,42167000.0,0.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,0.0,12548.0,26892.0,1186000.0,8258000.0,12494000.0,15111000.0,16608000.0,23040000.0,16492000.0,37667000.0,39118000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37000.0,255000.0,1055000.0,1401000.0,1608000.0,1936000.0,1880000.0,1717000.0,1477000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26774000.0,41372000.0,51165000.0,48871000.0,72476000.0,88595000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.61,0.01,-0.13,0.0,0.0
