,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,36540000.0,22829000.0,12519000.0,14020000.0,23546000.0,16242000.0,9803000.0,10868000.0,13775000.0,14184000.0,26052000.0,26316000.0,47047000.0,164164000.0,145924000.0
revenue,0.0,53682000.0,53274000.0,18542000.0,22533000.0,22239000.0,25499000.0,30042000.0,37875000.0,47632000.0,45469000.0,51795000.0,49943000.0,0.0,0.0
net_income,0.0,-17679000.0,-10518000.0,-887000.0,1077000.0,-278000.0,-1625000.0,2050000.0,4213000.0,22880000.0,-26293000.0,-2088000.0,2188000.0,2062000.0,-82340000.0
depreication,0.0,860000.0,717000.0,637000.0,1606000.0,1304000.0,1336000.0,1186000.0,982000.0,1016000.0,1209000.0,0.0,3987000.0,3188000.0,5821000.0
long_term_assets,0.0,0.0,8343000.0,5258000.0,5788000.0,5373000.0,4025000.0,3689000.0,4005000.0,22864000.0,10439000.0,18692000.0,26437000.0,30632000.0,69748000.0
eps_diluted,0.0,0.0,0.0,-0.06,0.08,-0.02,-0.11,0.15,0.3,1.57,-1.89,-0.15,0.12,0.11,-4.39
