,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,524698000.0,637961000.0,336052000.0,376417000.0,464393000.0,333765000.0,335432000.0,347011000.0,233623000.0,119028000,156233000.0,376037000.0,154073000.0,156281000.0,405869000.0,38388000.0,63041000.0
revenue,0.0,2567723000.0,3544057000.0,890782000.0,840966000.0,748357000.0,750537000.0,726497000.0,675321000.0,555563000,391874000.0,346208000.0,232522000.0,0.0,0.0,0.0,0.0
net_income,0.0,844464000.0,1310547000.0,276064000.0,241687000.0,188490000.0,155661000.0,92615000.0,98843000.0,-245384000,116082000.0,-31941000.0,-79207000.0,-74770000.0,-1254904000.0,-177344000.0,-103211000.0
eps_diluted,0.0,6.11,9.42,1.98,1.74,1.36,1.12,3.95,2.81,-2,-2.72,0.13,-1.31,-2.6,-9.09,-1.77,-1.03
long_term_debt,0.0,0.0,1012367000.0,1913029000.0,2121881000.0,1923114000.0,1981612000.0,3239725000.0,3101134000.0,2620496000,2321383000.0,2195513000.0,2210768000.0,2278335000.0,201439000.0,501561000.0,624460000.0
long_term_assets,0.0,0.0,3487698000.0,4540891000.0,4863486000.0,4971474000.0,5102343000.0,5673324000.0,7122230000.0,6480299000,5866070000.0,5363917000.0,5249756000.0,5357249000.0,4323138000.0,1259936000.0,1209874000.0
