,2006,2007,2008,2009,2010,2011,2012
cash_and_equiv,471000000.0,477000000.0,575000000.0,1100000000.0,575000000.0,1112000000.0,892000000.0
revenue,0.0,3095000000.0,3730000000.0,3954000000.0,5402000000.0,6642000000.0,6428000000.0
net_income,0.0,-814000000.0,-563000000.0,-825000000.0,112000000.0,1425000000.0,829000000.0
eps_diluted,0.0,-2.92,-1.79,-2.3,0.0,0.0,0.0
depreication,0.0,655000000.0,615000000.0,615000000.0,720000000.0,789000000.0,794000000.0
long_term_debt,0.0,0.0,3458000000.0,6434000000.0,3741000000.0,3392000000.0,4709000000.0
long_term_assets,0.0,0.0,6504000000.0,7851000000.0,8391000000.0,8554000000.0,10312000000.0
