,2017,2018,2019,2020,2021,2022
revenue,9991000000.0,9662000000.0,9066000000.0,7022000000.0,7038000000.0,7107000000.0
net_income,195000000.0,361000000.0,1353000000.0,192000000.0,-455000000.0,-322000000.0
eps_diluted,0.71,1.38,5.8,0.84,-2.56,-2.15
depreication,527000000.0,526000000.0,430000000.0,368000000.0,327000000.0,270000000.0
cash_and_equiv,0.0,1081000000.0,2740000000.0,2625000000.0,1840000000.0,1045000000.0
long_term_assets,0.0,10161000000.0,8907000000.0,8958000000.0,8522000000.0,7436000000.0
