,2018,2019,2020,2021,2022
net_income,-3842186.0,-11870228.0,-18567234.0,-31038712.0,-31770062.0
cash_and_equiv,10261671.0,28094936.0,35300805.0,33794672.0,16612315.0
long_term_assets,127768.0,0.0,1102808.0,1859860.0,5095049.0
revenue,0.0,0.0,0.0,88161.0,495805.0
eps_diluted,0.0,0.0,0.0,-1.25,-1.06
depreication,0.0,0.0,0.0,111453.0,388221.0
