,2020,2021,2022
revenue,48259601.0,69446852.0,90891087.0
net_income,-16659478.0,-44167812.0,-35534892.0
eps_diluted,-0.78,-1.14,-0.87
long_term_debt,35574313.0,101602079.0,116906403.0
long_term_assets,51075789.0,218961262.0,307211480.0
depreication,2387930.0,4597229.0,11323468.0
