,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,97011000.0,112966000.0,125917000.0,171310000.0,197098000.0,76329000.0,95059000.0,77301000.0,102239000.0,75753000.0,69710000.0,148502000.0,121398000.0,165374000.0,122059000.0,124981000.0
net_income,0.0,10582000.0,19626000.0,27098000.0,23891000.0,49664000.0,50391000.0,46366000.0,43767000.0,66691000.0,33164000.0,87690000.0,55486000.0,67146000.0,127791000.0,142177000.0
eps_diluted,0.0,0.3,0.57,0.8,0.7,1.24,0.43,0.4,0.36,0.56,0.28,0.74,0.47,0.56,1.08,1.24
depreication,0.0,16649000.0,17989000.0,5078000.0,5477000.0,10158000.0,16660000.0,19519000.0,22985000.0,22833000.0,22238000.0,21311000.0,31753000.0,32863000.0,127180000.0,126678000.0
long_term_debt,0.0,0.0,195400000.0,270764000.0,227057000.0,640849000.0,1100983000.0,1270526000.0,1309020000.0,1120284000.0,1007511000.0,968376000.0,1985105000.0,2060612000.0,1819897000.0,1948714000.0
long_term_assets,0.0,0.0,315981000.0,306720000.0,322778000.0,894760000.0,1245489000.0,1476781000.0,1593287000.0,1494304000.0,1439818000.0,1555978000.0,2337158000.0,2231989000.0,2221307000.0,2095090000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005701000.0,1024191000.0,1009780000.0,1258294000.0,1294322000.0,1370598000.0,1421901000.0
