,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-54113.0,-367829.0,-1052299.0,-1195753.0,-1107120.0,-1406506.0,-1266811.0,-1607017.0,-1117334.0,-931338.0,-694910.0,-721841.0,-665113.0,-1199057.0,-16390869.0,-7918495.0,-2301885.0,-1646255.0,-3385340.0,-2932462.0,-2507000.0,-5902000.0,3612000.0,-14398000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64836.0,19004.0,53722.0,8884.0,0.0,0.0,0.0,0.0,0.0,0.0,74884.0,245000.0,343000.0,867000.0,19576000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665.0,24825.0,77330.0,53573.0,2994350.0,1285973.0,63956.0,4152.0,22644.0,693001.0,1673000.0,253000.0,7939000.0,9422000.0,3411000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149414.0,147708.0,139570.0,118618.0,314172.0,301966.0,219604.0,304329.0,231952.0,191507.0,279280.0,496000.0,573000.0,11677000.0,11294000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13915.0,14161.0,13614.0,10904.0,13471.0,81929.0,82362.0,94123.0,30199.0,43095.0,0.0,0.0,0.0,117000.0,770000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.07,-2.22,-0.47,-0.24,-0.14,-0.03,-1.17,-1.48,0.49,-1.7
