,2019,2020,2021,2022
revenue,229504000.0,106275000.0,111014000.0,156234000.0
net_income,-217201000.0,-28144000.0,-1281000.0,109625000.0
eps_diluted,-3.07,-1.07,-0.03,2.03
cash_and_equiv,42107000.0,20786000.0,36810000.0,64941000.0
long_term_debt,535811000.0,216788000.0,208512000.0,162189000.0
long_term_assets,423219000.0,209020000.0,223049000.0,281651000.0
depreication,102946000.0,26431000.0,29077000.0,33396000.0
