,2021,2022
revenue,827266.0,1218882.0
net_income,-7752091.0,-10725183.0
eps_diluted,-0.46,-0.28
cash_and_equiv,260838.0,751017.0
long_term_assets,5709942.0,1214060.0
depreication,313814.0,349851.0
