,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,2263000.0,1070000.0,1067000.0,2177000.0,3938000.0,320000.0,1158000.0,12767000.0,27792000.0,15444000.0,28826000.0,28577000.0,13427000.0,17010000.0
revenue,0.0,10033000.0,10941000.0,19965000.0,25474000.0,27206000.0,26906000.0,35542000.0,54442000.0,63626000.0,73150000.0,65507000.0,76064000.0,95828000.0
net_income,0.0,-1137000.0,-649000.0,-3032000.0,-1662000.0,-262000.0,-1757000.0,-972000.0,-5722000.0,-7548000.0,30001000.0,-16311000.0,3193000.0,-14466000.0
eps_diluted,0.0,-0.37,-0.14,-0.6,-0.29,-0.04,-0.28,-0.15,-0.53,-0.54,1.93,-1.03,0.16,-0.72
long_term_debt,0.0,2971000.0,13334000.0,36768000.0,34503000.0,29533000.0,29225000.0,71428000.0,145420000.0,259839000.0,178325000.0,373136000.0,267853000.0,270084000.0
long_term_assets,0.0,3185000.0,12985000.0,28899000.0,25955000.0,27380000.0,26132000.0,40224000.0,116733000.0,201185000.0,150601000.0,157193000.0,183413000.0,176632000.0
depreication,0.0,1016000.0,1050000.0,2295000.0,2947000.0,2821000.0,3012000.0,3613000.0,6058000.0,12927000.0,18165000.0,14655000.0,16246000.0,18708000.0
