,2019,2020,2021,2022
revenue,1087240000.0,252252000,463261000,3057065000
net_income,0.0,0,-19376000,96674000
cash_and_equiv,19894000.0,36861000,128578000,0
depreication,311185000.0,372300000,312787000,532926000
long_term_debt,0.0,871746000,1646531000,2141307000
long_term_assets,0.0,3686921000,4677844000,5503110000
