,2018,2019,2020,2021,2022
net_income,-484000.0,-98006000.0,-53721000.0,-143883000.0,-197723000.0
cash_and_equiv,879000.0,243765000.0,287496000.0,183259000.0,155385000.0
long_term_debt,2188000.0,26525000.0,102511000.0,108592000.0,121501000.0
long_term_assets,0.0,1577000.0,3743000.0,2905000.0,4298000.0
depreication,0.0,8000.0,323000.0,521000.0,620000.0
eps_diluted,0.0,0.0,0.0,-3.89,-5.05
