,2020,2021,2022
cash_and_equiv,627405000.0,1779769000.0,1413882000.0
revenue,0.0,668350000.0,654042000.0
net_income,0.0,-168074000.0,15548000.0
long_term_assets,0.0,107126000.0,145074000.0
depreication,0.0,12569000.0,20309000.0
eps_diluted,0.0,0.0,0.02
