,2018,2019,2020,2021,2022
revenue,63532000.0,104716000.0,150827000.0,206683000.0,280040000.0
net_income,-26015000.0,-5394000.0,-9405000.0,-64203000.0,-90184000.0
cash_and_equiv,177878000.0,39150000.0,164461000.0,68284000.0,45595000.0
depreication,1120000.0,2810000.0,3660000.0,8746000.0,14655000.0
long_term_assets,0.0,39111000.0,36670000.0,353506000.0,339199000.0
eps_diluted,0.0,0.0,-0.2,-0.68,-0.91
