,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,110559.0,699417.0,606644.0,1215265.0,14639981.0,12979444.0,177912000.0,41372000.0,40054000.0
net_income,0.0,-528756.0,-431244.0,-2542582.0,-5073755.0,1322000.0,5328000.0,12786000.0,-163747000.0
eps_diluted,0.0,-0.08,-0.05,-0.18,-0.22,0.04,0.11,0.21,-2.69
long_term_debt,0.0,456689.0,908087.0,1717294.0,4227155.0,12433574.0,27591000.0,47234000.0,35794000.0
long_term_assets,0.0,541466.0,835380.0,2088382.0,10915090.0,29842530.0,104505000.0,242449000.0,122761000.0
revenue,0.0,0.0,7980471.0,14363886.0,29000730.0,79734000.0,193365000.0,422489000.0,278166000.0
depreication,0.0,0.0,52962.0,151561.0,351070.0,1045000.0,2436000.0,12600000.0,17132000.0
