,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,386000.0,0.0,-245100.0,-27300.0,-146100,10300,7700,-18000,258500,381200.0,1655400.0,754900.0,508400.0,49400.0,1813100.0
cash_and_equiv,0.0,37200.0,10600.0,22900.0,20600,52900,28000,11400,199100,360400.0,400800.0,688000.0,1362800.0,1846700.0,5337800.0
revenue,0.0,0.0,658700.0,713500.0,637000,750200,922800,950800,1383500,1566900.0,3341700.0,2537400.0,2658700.0,1951900.0,4627200.0
long_term_assets,0.0,0.0,9600.0,3700.0,600,1500,18100,20900,15000,14100.0,1359700.0,1229100.0,807000.0,389100.0,2586400.0
depreication,0.0,0.0,7900.0,5900.0,3100,900,4000,6100,7300,7500.0,7100.0,10800.0,21500.0,30500.0,34100.0
eps_diluted,0.0,0.0,0.0,0.0,0,0,0,0,0,0.01,0.03,0.01,0.01,0.01,0.24
