,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-255945.0,-428615.0,-539820.0,-1805380.0,-2729454.0,-4139493.0,-10564597.0,-7241928.0,-4006323.0,-2351934.0,-76585.0,-1354658.0,-3490030.0,-5815158.0,-4163320.0,-5387698.0,-14499609.0,7929713.0,74983000.0,39482000.0,83079000.0
cash_and_equiv,100000.0,0.0,0.0,0.0,0.0,0.0,11766629.0,7779277.0,5475158.0,6029067.0,1409939.0,2215958.0,9096778.0,28235016.0,13893064.0,57496702.0,16559000.0,89512000.0,130237000.0,171445000.0,298395000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30227.0,25741.0,42835.0,10889.0,22483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56084.0,21074.0,62567.0,49516.0,80265.0,200437.0,253092.0,200273.0,5262556.0,1012607.0,33110000.0,27682000.0,54833000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,30122555.0,119073000.0,140833000.0,214203000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.07,0.71,0.37,0.75
