,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,3700000.0,9900000.0,10800000.0,69600000.0,48400000.0,54200000.0,33500000.0,28500000.0,69100000.0,130500000.0,182700000.0,172600000.0,380800000.0,349400000.0,81300000.0
revenue,0.0,334500000.0,408500000.0,723100000.0,116200000.0,100900000.0,868000000.0,657100000.0,541900000.0,166300000.0,164400000.0,185100000.0,206400000.0,811500000.0,898300000.0
eps_diluted,0.0,-2.99,0.86,-0.25,-1.59,-0.65,-1.35,-0.07,-0.07,-0.21,0.04,0.03,0.62,-0.02,-0.29
depreication,0.0,8300000.0,12900000.0,48000000.0,58000000.0,46400000.0,32400000.0,25500000.0,22500000.0,22200000.0,17900000.0,23400000.0,24600000.0,25700000.0,30500000.0
net_income,0.0,0.0,14500000.0,-8600000.0,-90000000.0,-7400000.0,-2200000.0,-4000000.0,-4300000.0,-22200000.0,4700000.0,3000000.0,78100000.0,-2000000.0,-36900000.0
long_term_debt,0.0,0.0,343100000.0,868400000.0,928200000.0,895300000.0,882500000.0,617500000.0,628500000.0,483200000.0,458900000.0,477800000.0,499100000.0,517800000.0,484400000.0
long_term_assets,0.0,0.0,352100000.0,795000000.0,828500000.0,786300000.0,758000000.0,582900000.0,575500000.0,552600000.0,515400000.0,663800000.0,798000000.0,831400000.0,968900000.0
