,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-1800.0,-20021.0,-23203.0,-27458.0,-114921.0,-114980.0,-107310.0,-1652.0,-56401.0,-270005.0,-541387.0,-307181.0,-1933841.0,-3776617.0,1132970.0,-7467464.0,-3194447.0,-3723250.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,2153.0,2153.0,2153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98768.0,25229.0,19127.0,1393608.0,1393608.0,265982.0,777611.0,1386472.0,117515.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.0,3201.0,1623.0,120378.0,1564053.0,10876232.0,1289401.0,1488114.0,612879.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112500.0,5684.0,9601.0,9843.0,7157.0,0.0,0.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-3.59
