,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,141659.0,1370711.0,186204.0,6996000.0,21967000.0,74810000.0,52153000.0
revenue,0.0,0.0,0.0,0.0,11000.0,181000.0,374000.0
net_income,0.0,-831486.0,-12440023.0,-7678313.0,-12099000.0,-30340000.0,-27299000.0
long_term_assets,0.0,16514000.0,16514000.0,16705543.0,16670000.0,17339000.0,17120000.0
long_term_debt,0.0,0.0,823766.0,700379.0,1776000.0,19359000.0,25918000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,-1.88,-1.52
