,2016,2017,2018,2019,2020,2021,2022
depreication,21241000.0,23271000.0,30153000.0,38854000.0,40520000.0,36308000.0,34124000.0
revenue,0.0,341191000.0,139824000.0,140238000.0,348566000.0,438589000.0,688369000.0
cash_and_equiv,0.0,7574000.0,70841000.0,202603000.0,288659000.0,301669000.0,344527000.0
long_term_debt,0.0,294311000.0,74624000.0,91126000.0,48915000.0,92574000.0,116649000.0
long_term_assets,0.0,102527000.0,310239000.0,420081000.0,390452000.0,463593000.0,464254000.0
net_income,0.0,0.0,16924000.0,18058000.0,34446000.0,49593000.0,110174000.0
eps_diluted,0.0,0.0,0.44,0.38,0.0,0.0,0.0
