,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,16243112.0,26734435.0,140870000.0,194740000.0,62526000.0,87779000.0,57272000.0,62109000.0,71355000.0,64024000.0,59056000.0,123886000.0,146560000.0
revenue,0.0,88874595.0,146716403.0,238338000.0,304875000.0,315223000.0,294112000.0,298595000.0,310046000.0,301385000.0,332495000.0,406481000.0,473792000.0
net_income,0.0,18650279.0,30535845.0,42189000.0,87737000.0,98094000.0,44638000.0,5310000.0,-5739000.0,-16706000.0,-443000.0,-30964000.0,53473000.0
depreication,0.0,18677574.0,24179633.0,36608000.0,45809000.0,53453000.0,62280000.0,73588000.0,76140000.0,76173000.0,76681000.0,88486000.0,126220000.0
eps_diluted,0.0,0.0,0.82,0.92,1.58,1.76,0.8,0.1,-0.1,-0.3,-0.01,-0.48,0.69
long_term_debt,0.0,0.0,286273502.0,540324353.0,498076000.0,594577000.0,756555000.0,882622000.0,781132000.0,826448000.0,793152000.0,1020277000.0,921670000.0
long_term_assets,0.0,0.0,660879769.0,1100103724.0,1290793000.0,1435506000.0,1631045000.0,1741750000.0,1714626000.0,1748127000.0,1702870000.0,1942089000.0,1868417000.0
