,2021,2022
revenue,38136862.0,89359733.0
net_income,-1507097.0,4166603.0
eps_diluted,-44.09,0.33
cash_and_equiv,4684431.0,4047453.0
long_term_assets,22218874.0,26841150.0
depreication,0.0,34218.0
