,2010,2011,2012,2013,2014,2019,2020,2021,2022
revenue,762488.0,0,0,0.0,0.0,0.0,0.0,349143,1297613.0
net_income,-2015518.0,-1101547,-1488485,-566859.0,-365344.0,0.0,-489695.0,-3264957,-18058354.0
cash_and_equiv,16711.0,0,0,0.0,608.0,9.0,766.0,433435,0.0
long_term_debt,2902459.0,2657841,2100017,2666876.0,3032828.0,0.0,4039381.0,3306709,4584989.0
long_term_assets,10397.0,2544,0,0.0,0.0,0.0,0.0,4469675,4285133.0
depreication,0.0,4059,2544,0.0,0.0,0.0,0.0,9638,68969.0
