,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,246609000.0,140822000.0,277814000.0,131786000.0,146522000.0,248817000.0,156735000.0,152386000.0,141055000.0,99304000.0,129141000.0,86143000.0
net_income,0.0,1991000.0,6404000.0,9271000.0,7990000.0,235161000.0,76249000.0,0.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,0.33,-114.7,-0.93,-1.31,1.58,0.06,0.7,-6.88,0.36,0.62,0.25
depreication,0.0,25398000.0,29220000.0,39823000.0,54322000.0,84156000.0,104000000.0,123065000.0,140164000.0,152827000.0,121062000.0,129107000.0
long_term_debt,0.0,0.0,6966000.0,223882000.0,287566000.0,345405000.0,805859000.0,556094000.0,491633000.0,580274000.0,1195355000.0,1207464000.0
long_term_assets,0.0,0.0,282972000.0,824600000.0,985027000.0,1392493000.0,2099024000.0,1883598000.0,1955523000.0,2330153000.0,2740602000.0,2711561000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,294390000.0,307589000.0,319606000.0,422827000.0,379215000.0,340706000.0
