,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-5930236.0,-14591662.0,-11096383.0,-13533617.0,-15177686.0,-32671466.0,-58537849.0,-14629642.0
long_term_assets,4618322.0,3789868.0,3527100.0,2669394.0,5494594.0,5054071.0,2365024.0,2026944.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
depreication,0.0,0.0,0.0,0.0,63096.0,38000.0,15000.0,29000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,-14.68,-1988.53,-21.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,6062141.0,8248684.0,1362910.0
