,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-126003.0,-31411736.0,-14856724.0,-12649170.0,-14667367.0,-11852152.0,-1433922.0,-5469067.0,-5968448.0,-8930833.0,-16656325.0,-15052263.0,-12019278.0,-6699562.0,-14194431.0,-21280891.0,-29417969.0,-22885449.0,-15373993.0,-26237315.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,8181582.0,3812535.0,7109215.0,592004.0,23644542.0,9906373.0,798545.0,1834018.0,15644355.0,41671284.0,12077640.0,5761568.0,12710762.0,2329218.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815958.0,1029236.0,2476520.0,1472690.0,1137043.0,1334136.0,399033.0,7842499.0,7917114.0,8580515.0,8172659.0,8168335.0,8107528.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168843.0,210252.0,303677.0,335597.0,387779.0,351403.0,238127.0,0.0,0.0,0.0,0.0,0.0,0.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260000.0,0.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.08,-1.66
