,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,73772000.0,56319000.0,59016000.0,56167000.0,41028000.0,51385000.0,190079000.0,31067000.0,84188000.0,278081000.0,121967000.0,92363000.0,147198000.0,640311000.0,34485000.0,454946000.0
net_income,0.0,-108214000.0,14469000.0,11985000.0,31826000.0,22977000.0,29462000.0,23376000.0,46565000.0,39403000.0,34002000.0,52086000.0,-74044000.0,113555000.0,379386000.0,256528000.0
eps_diluted,0.0,-1.37,0.2,0.17,0.45,0.32,0.43,0.36,0.72,0.62,0.57,0.93,-1.4,2.15,7.44,5.19
depreication,0.0,64073000.0,64653000.0,61058000.0,55873000.0,66469000.0,79730000.0,85089000.0,84699000.0,86793000.0,103359000.0,95602000.0,92678000.0,87654000.0,98827000.0,112800000.0
long_term_debt,0.0,0.0,630040000.0,775256000.0,915725000.0,855150000.0,1256604000.0,1195370000.0,1011082000.0,1099393000.0,1395789000.0,1296376000.0,1087754000.0,1497932000.0,1679454000.0,1412534000.0
long_term_assets,0.0,0.0,738062000.0,775614000.0,963558000.0,1083974000.0,1097459000.0,1090112000.0,1146149000.0,1134375000.0,1380665000.0,1344883000.0,1348336000.0,1405253000.0,1857370000.0,1782581000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727780000.0,871266000.0,958226000.0,3759556000.0,3059119000.0,3171429000.0,5242219000.0,4916392000.0
