,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-40611000.0,3227000.0,6941000.0,6778000.0,-15717000.0,67306000.0,242385000.0,-498005000.0
depreication,2555000.0,5302000.0,5336000.0,8389000.0,15669000.0,36206000.0,42621000.0,48651000.0
revenue,0.0,398649000.0,188261000.0,275739000.0,411230000.0,649886000.0,2764584000.0,3126534000.0
eps_diluted,0.0,-2.66,0.06,0.05,-0.52,0.49,1.71,-3.62
long_term_debt,0.0,116505000.0,163258000.0,194004000.0,453043000.0,610189000.0,809604000.0,1083273000.0
long_term_assets,0.0,13858000.0,26980000.0,32062000.0,544571000.0,572902000.0,1027638000.0,1447722000.0
cash_and_equiv,0.0,0.0,177250000.0,155564000.0,515479000.0,1092815000.0,2146043000.0,1961956000.0
