,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,10.0,10.0,79.0,56889.0,23.0,14975.0,15948.0,15634.0,14591.0,0.0,0.0
net_income,0.0,-16899.0,-38778.0,-36225.0,-709117.0,-2037746.0,-3517089.0,-1728448.0,-1596768.0,-3064028.0,-257348.0
long_term_assets,0.0,0.0,0.0,31855.0,27127.0,21899.0,122035.0,59061.0,51208.0,40193.0,28252.0
revenue,0.0,0.0,3334.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11693.0,11940.0,11940.0
