,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,544000.0,482000.0,2294000.0,11469000.0,7961000.0,9128000.0,2160000.0,7087000.0,5245000.0,2668000.0,2124000,6819000,6025000.0,11821000.0
net_income,0.0,-2413000.0,5112000.0,-3381000.0,-1145000.0,1128000.0,3823000.0,820000.0,-4539000.0,-3734000.0,-382000,358000,6100000.0,11873000.0
eps_diluted,0.0,-0.02,0.03,-0.02,-0.01,0.01,0.02,0.0,0.0,-0.02,0,0,0.0,0.0
long_term_debt,0.0,1917000.0,16508000.0,18178000.0,19215000.0,20848000.0,29784000.0,35220000.0,42603000.0,45898000.0,33003000,37478000,31023000.0,31723000.0
long_term_assets,0.0,683000.0,6649000.0,6665000.0,7586000.0,11997000.0,31664000.0,32298000.0,31291000.0,31300000.0,30305000,28108000,24558000.0,30655000.0
depreication,0.0,123000.0,101000.0,391000.0,361000.0,467000.0,1540000.0,2158000.0,2426000.0,2522000.0,2681000,2462000,3840000.0,1923000.0
revenue,0.0,0.0,23489000.0,29240000.0,32890000.0,34954000.0,57082000.0,0.0,72788000.0,73980000.0,75515000,69850000,75579000.0,80017000.0
