,2020,2021,2022
revenue,80655000.0,112643000.0,228305000.0
net_income,-16334000.0,-33557000.0,-91629000.0
eps_diluted,-0.33,-0.65,-1.5
cash_and_equiv,56413000.0,230990000.0,75444000.0
depreication,657000.0,876000.0,9199000.0
long_term_assets,0.0,45696000.0,196975000.0
