,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,57339000.0,183546000.0,71891000.0,128763000.0,100808000.0,96938000.0,120614000.0,71734000.0,48132000.0,102055000.0,174935000.0,138838000.0,198911000.0,470166000.0,513448000.0,456661000.0
net_income,0.0,27727000.0,50955000.0,18807000.0,4560000.0,12786000.0,13771000.0,17166000.0,14980000.0,28246000.0,44355000.0,25138000.0,15319000.0,92744000.0,169075000.0,180550000.0
eps_diluted,0.0,0.96,1.74,2.17,0.95,1.44,-0.74,0.52,0.2,0.35,0.56,0.29,0.18,1.09,1.98,2.16
depreication,0.0,30717000.0,39688000.0,39172000.0,50172000.0,52611000.0,47010000.0,61128000.0,58863000.0,72665000.0,88945000.0,110730000.0,109462000.0,0.0,0.0,0.0
long_term_assets,0.0,0.0,574739000.0,574284000.0,691852000.0,710548000.0,670987000.0,1058098000.0,1335729000.0,1312784000.0,2389111000.0,2332805000.0,2445072000.0,2377934000.0,2628667000.0,2728260000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992075000.0,368602000.0,383315000.0,395127000.0,388647000.0,1542448000.0,1557666000.0
