,2020,2021,2022
revenue,5629000.0,1306000.0,1222000.0
net_income,-3721000.0,-17045000.0,-18835000.0
cash_and_equiv,816000.0,25658000.0,10503000.0
long_term_assets,7391000.0,7386000.0,7133000.0
depreication,0.7,0.7,0.7
eps_diluted,0.0,-0.9,-0.9
