,2019,2020,2021,2022
revenue,73017000.0,134310000.0,331952000.0,527510000.0
net_income,-6755000.0,-21825000.0,135037000.0,289004000.0
eps_diluted,-0.1,-0.27,0.73,1.52
cash_and_equiv,2757000.0,519652000.0,1179297000.0,136627000.0
long_term_debt,31315000.0,46425000.0,734470000.0,775925000.0
long_term_assets,74385000.0,513241000.0,612859000.0,943959000.0
depreication,4687000.0,6931000.0,24382000.0,18356000.0
