,2021,2022
revenue,2977000.0,4330000.0
net_income,-14614000.0,-12705000.0
eps_diluted,-0.84,-0.65
cash_and_equiv,2683000.0,139000.0
long_term_debt,5218000.0,4939000.0
long_term_assets,8799000.0,12722000.0
depreication,1688000.0,1582000.0
