,2019,2020,2021,2022
revenue,4570970000.0,3478743000.0,5077713000.0,5268137000.0
net_income,0.0,0.0,-298423.0,129133000.0
depreication,280749000.0,310883000.0,282883000.0,266775000.0
cash_and_equiv,0.0,1008485000.0,1560995000.0,767828000.0
long_term_debt,0.0,7922883000.0,8419173000.0,7583086000.0
long_term_assets,0.0,7568426000.0,7680770000.0,9967106000.0
eps_diluted,0.0,0.0,-1.14,0.45
