,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,537500000.0,874000000.0,1014600000.0,772600000.0,580500000.0,648100000.0,737600000.0,699200000.0,730500000.0,598500000.0,689000000.0,591900000.0,1025800000.0,1567100000.0,847800000.0,639000000.0
eps_diluted,0.0,2.58,-0.12,-4.29,0.78,0.68,1.25,1.47,1.66,1.87,3.22,2.54,2.33,1.33,6.91,7.08
depreication,0.0,107100000.0,97200000.0,110100000.0,104400000.0,100500000.0,94300000.0,83800000.0,77700000.0,85300000.0,84400000.0,85800000.0,77200000.0,76300000.0,73400000.0,84600000.0
long_term_debt,0.0,0.0,3318600000.0,3960100000.0,4420000000.0,4404000000.0,3993300000.0,3778300000.0,4267900000.0,4444700000.0,5708800000.0,5201400000.0,5453800000.0,5788300000.0,6882000000.0,5876700000.0
long_term_assets,0.0,0.0,1881400000.0,1855700000.0,1909200000.0,1952000000.0,2043600000.0,2199700000.0,2425000000.0,2441300000.0,2712400000.0,2522700000.0,2739300000.0,2661800000.0,3406200000.0,3196000000.0
net_income,0.0,0.0,0.0,-263600000.0,251600000.0,197600000.0,288000000.0,427600000.0,419200000.0,443700000.0,545400000.0,556700000.0,0.0,0.0,0.0,0.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19654100000.0,5637500000.0,5393200000.0,5196600000.0,5054900000.0,20724400000.0,19827500000.0
