,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,103202000.0,142531000.0,220788000.0,154621000.0,157800000.0,0.0,147200000.0,148000000.0,216100000.0,358500000.0,172500000.0,0.0,189200000.0,325700000.0,271000000.0
revenue,0.0,1329234000.0,323349000.0,435170000.0,515523000.0,556502000.0,584800000.0,562300000.0,699800000.0,785500000.0,785500000.0,783900000.0,824000000.0,3659100000.0,3676300000.0
net_income,0.0,141472000.0,36564000.0,29403000.0,33185000.0,54469000.0,11800000.0,37100000.0,-35900000.0,86500000.0,86500000.0,78100000.0,279300000.0,492700000.0,449700000.0
eps_diluted,0.0,1.14,0.29,0.23,0.13,0.21,0.04,0.14,-0.14,0.34,0.34,0.31,1.11,1.94,1.8
long_term_debt,0.0,0.0,404968000.0,975759000.0,1379828000.0,0.0,1335448000.0,1323700000.0,1308100000.0,1687300000.0,3023700000.0,0.0,2814500000.0,2481800000.0,2682100000.0
long_term_assets,0.0,0.0,1152522000.0,1919418000.0,2653131000.0,0.0,2863823000.0,2953600000.0,2695100000.0,3004600000.0,4687300000.0,0.0,5428900000.0,5649000000.0,5750800000.0
